                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.36368,                0.44015,                0.96564,                0.93046,                0.05939,                0.06897,                0.05353,                0.46358,                 1.0931,                0.71899,             0.00068018,             0.00068018,             0.00068018
                     37,                0.35309,                0.43089,                0.95615,                0.96319,                0.06196,                0.06861,                0.05467,                0.41473,                 1.0051,                0.68489,             0.00067764,             0.00067764,             0.00067764
                     38,                0.35085,                0.41276,                0.94815,                0.96897,                0.03862,                0.04566,                0.03269,                0.40287,                 1.0999,                0.68268,             0.00067511,             0.00067511,             0.00067511
                     39,                0.38259,                0.43342,                0.96045,                0.79827,                0.04863,                0.05478,                0.03916,                0.37467,                0.92742,                0.65492,             0.00067257,             0.00067257,             0.00067257
                     40,                0.36502,                0.42024,                0.97069,                0.87942,                0.03294,                0.03869,                 0.0278,                0.48954,                  1.226,                0.71333,             0.00067003,             0.00067003,             0.00067003
                     41,                0.33091,                0.39968,                0.95621,                0.96771,                0.03862,                0.05346,                0.03567,                0.47007,                 1.1678,                0.71103,             0.00066749,             0.00066749,             0.00066749
                     42,                0.34656,                  0.392,                0.94649,                0.94447,                 0.0492,                0.05321,                0.04466,                0.43724,                  1.099,                0.68875,             0.00066495,             0.00066495,             0.00066495
                     43,                0.36325,                0.41712,                0.95391,                0.94477,                0.07101,                0.09995,                0.08452,                0.34188,                0.77479,                0.64225,             0.00066242,             0.00066242,             0.00066242
                     44,                0.34849,                0.39133,                0.95606,                0.92757,                0.06693,                0.07794,                0.06236,                0.41758,                0.86344,                0.68731,             0.00065988,             0.00065988,             0.00065988
                     45,                0.35096,                0.38671,                0.95886,                0.96382,                 0.0455,                0.06212,                0.04368,                 0.3424,                0.79802,                0.64012,             0.00065734,             0.00065734,             0.00065734
                     46,                0.34256,                0.38102,                0.94508,                0.95521,                0.08476,                0.11098,                0.09485,                0.36047,                0.77409,                0.65227,              0.0006548,              0.0006548,              0.0006548
                     47,                0.34232,                0.37755,                0.93946,                0.89241,                0.06637,                0.12925,                0.11672,                0.35836,                0.81509,                0.65512,             0.00065227,             0.00065227,             0.00065227
                     48,                0.33925,                0.39249,                 0.9458,                0.95491,                0.10304,                0.12942,                0.11299,                0.37636,                0.85066,                0.65613,             0.00064973,             0.00064973,             0.00064973
                     49,                0.32775,                0.36698,                0.94997,                0.93747,                0.10706,                0.13459,                 0.1058,                0.42908,                0.90419,                0.69516,             0.00064719,             0.00064719,             0.00064719
                     50,                0.36236,                0.39197,                0.94927,                0.95315,                0.07841,                0.10769,                0.09277,                0.40938,                0.82868,                0.67759,             0.00064465,             0.00064465,             0.00064465
                     51,                0.33903,                0.37103,                0.95162,                0.78181,                0.13178,                0.17808,                0.14583,                0.40268,                0.78137,                0.68893,             0.00064212,             0.00064212,             0.00064212
                     52,                0.35069,                0.36897,                0.96129,                0.90654,                0.09082,                0.13421,                0.11178,                0.36204,                 0.7826,                0.65042,             0.00063958,             0.00063958,             0.00063958
                     53,                 0.3419,                0.36083,                0.94811,                0.94229,                0.16491,                0.19853,                0.16608,                0.41084,                0.74446,                0.69886,             0.00063704,             0.00063704,             0.00063704
                     54,                0.35025,                0.36097,                0.96061,                0.87683,                0.11991,                0.16058,                0.13763,                0.34539,                0.76357,                0.63128,              0.0006345,              0.0006345,              0.0006345
                     55,                 0.3314,                0.36287,                0.94957,                0.73835,                 0.1468,                0.21359,                0.18689,                0.36533,                0.86245,                0.65607,             0.00063196,             0.00063196,             0.00063196
                     56,                0.34179,                0.36248,                0.94687,                0.92315,                0.17952,                0.21352,                0.17956,                0.36847,                0.81134,                0.66462,             0.00062943,             0.00062943,             0.00062943
                     57,                0.32404,                0.34978,                0.94081,                0.73666,                0.16698,                0.18453,                0.15812,                0.38946,                0.87618,                0.66742,             0.00062689,             0.00062689,             0.00062689
                     58,                0.32148,                 0.3302,                 0.9438,                0.93025,                0.14622,                0.16263,                0.13459,                0.37149,                0.81168,                0.65146,             0.00062435,             0.00062435,             0.00062435
                     59,                 0.3156,                0.34221,                0.93242,                0.95508,                0.19762,                0.22844,                0.19743,                0.34047,                0.76069,                0.63162,             0.00062181,             0.00062181,             0.00062181
                     60,                0.31826,                0.33442,                 0.9403,                0.90852,                0.32371,                0.35301,                0.30105,                0.32893,                0.72458,                 0.6227,             0.00061928,             0.00061928,             0.00061928
                     61,                0.31983,                0.33536,                0.93006,                0.89635,                0.19826,                0.21933,                0.18593,                0.34804,                 0.7229,                0.63873,             0.00061674,             0.00061674,             0.00061674
                     62,                0.31693,                0.33338,                0.93462,                0.91287,                0.20713,                0.23629,                0.20158,                0.33312,                0.68566,                0.62759,              0.0006142,              0.0006142,              0.0006142
                     63,                0.31048,                0.32341,                0.93886,                0.88239,                0.34174,                0.36512,                0.30156,                0.32269,                0.76652,                0.62651,             0.00061166,             0.00061166,             0.00061166
                     64,                0.30526,                0.31783,                0.92702,                0.94616,                0.94048,                0.98409,                0.82034,                0.37466,                0.88288,                0.66194,             0.00060912,             0.00060912,             0.00060912
                     65,                0.30824,                0.31793,                0.94132,                0.93914,                0.81235,                0.82267,                0.67917,                0.35825,                0.75709,                 0.6516,             0.00060659,             0.00060659,             0.00060659
                     66,                 0.3097,                0.32138,                0.93736,                 0.9422,                0.96928,                0.96958,                0.80957,                0.37925,                 0.7817,                0.64866,             0.00060405,             0.00060405,             0.00060405
                     67,                0.31282,                0.31961,                0.92771,                0.94541,                0.51091,                0.52433,                0.44522,                0.37458,                0.78215,                 0.6681,             0.00060151,             0.00060151,             0.00060151
                     68,                0.31759,                0.33506,                0.94488,                0.93417,                0.69269,                0.73179,                0.58494,                0.40011,                0.84142,                0.70103,             0.00059897,             0.00059897,             0.00059897
                     69,                 0.3129,                0.32628,                0.94257,                0.94714,                0.81608,                0.84696,                0.66718,                0.38368,                0.71337,                0.66911,             0.00059644,             0.00059644,             0.00059644
                     70,                0.30843,                0.31813,                0.93323,                0.97373,                0.92399,                 0.9793,                0.78057,                0.37601,                0.78921,                0.68014,              0.0005939,              0.0005939,              0.0005939
                     71,                0.30801,                0.31454,                0.93423,                0.96371,                0.95075,                0.97744,                0.79952,                0.35911,                0.68838,                0.64787,             0.00059136,             0.00059136,             0.00059136
                     72,                  0.298,                0.30889,                0.92801,                  0.922,                0.97082,                0.98227,                0.80515,                0.33409,                0.71106,                0.63563,             0.00058882,             0.00058882,             0.00058882
                     73,                0.29954,                0.31466,                0.93487,                0.92411,                0.96353,                 0.9763,                0.78433,                0.36118,                 0.7329,                0.64201,             0.00058629,             0.00058629,             0.00058629
                     74,                0.29633,                0.31211,                0.92285,                0.91637,                0.75245,                0.83217,                0.68868,                0.36534,                0.86847,                0.64139,             0.00058375,             0.00058375,             0.00058375
                     75,                0.30735,                  0.324,                0.93008,                0.97218,                0.92685,                0.98014,                0.82622,                0.34489,                0.75407,                0.64752,             0.00058121,             0.00058121,             0.00058121
                     76,                0.30713,                 0.3206,                0.93822,                0.87632,                0.75416,                0.82989,                0.65377,                0.36256,                0.84347,                0.64731,             0.00057867,             0.00057867,             0.00057867
                     77,                0.31001,                 0.3074,                0.93616,                0.93299,                0.94298,                0.98042,                0.80968,                0.35263,                0.87606,                 0.6491,             0.00057613,             0.00057613,             0.00057613
                     78,                0.31065,                0.31012,                0.94177,                0.88702,                0.58525,                0.60074,                0.51163,                0.39299,                 1.0905,                0.66068,              0.0005736,              0.0005736,              0.0005736
                     79,                0.30786,                0.30675,                0.93437,                0.95287,                0.94271,                0.97559,                0.82511,                0.34266,                0.72754,                0.63241,             0.00057106,             0.00057106,             0.00057106
                     80,                0.28871,                0.29639,                0.92124,                0.95643,                0.95464,                 0.9792,                0.80512,                0.33526,                0.66429,                0.63234,             0.00056852,             0.00056852,             0.00056852
                     81,                0.29784,                0.30762,                0.93207,                0.94573,                0.95202,                0.97548,                0.81754,                0.33021,                0.69772,                0.63444,             0.00056598,             0.00056598,             0.00056598
                     82,                0.29035,                0.29292,                0.91671,                0.90294,                0.97215,                0.97157,                 0.8224,                0.31528,                0.68489,                0.62774,             0.00056345,             0.00056345,             0.00056345
                     83,                0.29683,                0.30184,                0.93467,                0.91629,                0.87414,                 0.8936,                0.75378,                0.32174,                0.69856,                0.62738,             0.00056091,             0.00056091,             0.00056091
                     84,                0.28946,                0.29387,                0.92996,                 0.9485,                0.96281,                0.97473,                0.84454,                0.31739,                0.66094,                0.62971,             0.00055837,             0.00055837,             0.00055837
                     85,                0.28993,                0.28516,                0.92823,                0.93589,                0.94915,                 0.9765,                0.83495,                 0.3099,                 0.7558,                0.62625,             0.00055583,             0.00055583,             0.00055583
                     86,                0.28995,                0.28946,                0.91718,                0.94475,                0.95512,                0.97959,                  0.826,                0.30182,                 0.6524,                0.61289,              0.0005533,              0.0005533,              0.0005533
                     87,                0.28379,                0.28414,                 0.9175,                 0.9618,                0.92746,                0.96785,                0.82248,                0.30422,                0.67513,                0.61602,             0.00055076,             0.00055076,             0.00055076
                     88,                0.28705,                0.28632,                0.92486,                0.94793,                0.96387,                0.98262,                0.82518,                0.30735,                0.63358,                0.61779,             0.00054822,             0.00054822,             0.00054822
                     89,                0.27914,                0.27245,                0.91472,                0.95417,                0.95927,                0.98417,                0.83887,                0.29641,                0.60474,                0.61357,             0.00054568,             0.00054568,             0.00054568
                     90,                0.27522,                0.27451,                0.92146,                0.95097,                0.95299,                0.97199,                0.84321,                 0.2883,                0.60727,                0.60783,             0.00054314,             0.00054314,             0.00054314
                     91,                0.30392,                 0.3001,                0.93796,                0.97009,                0.95594,                0.98468,                0.80187,                0.33344,                0.61544,                 0.6367,             0.00054061,             0.00054061,             0.00054061
                     92,                0.29512,                0.28123,                 0.9257,                0.95668,                0.95358,                0.98278,                0.79875,                0.36058,                0.65182,                0.65881,             0.00053807,             0.00053807,             0.00053807
                     93,                0.27946,                0.28283,                0.92511,                 0.9061,                0.82129,                0.83189,                0.68746,                0.40835,                 1.0272,                0.68903,             0.00053553,             0.00053553,             0.00053553
                     94,                0.28281,                0.28823,                0.91038,                0.93909,                0.82415,                0.86895,                0.75187,                0.39003,                0.93986,                0.66514,             0.00053299,             0.00053299,             0.00053299
                     95,                0.28098,                0.28507,                0.92553,                0.93551,                0.98002,                0.97911,                0.83227,                0.30032,                0.64745,                0.61381,             0.00053046,             0.00053046,             0.00053046
                     96,                0.28321,                0.27902,                0.92751,                0.94681,                0.97927,                0.98467,                0.84311,                0.32735,                0.58792,                0.63649,             0.00052792,             0.00052792,             0.00052792
                     97,                0.27507,                 0.2676,                0.91542,                0.96062,                0.98434,                0.98254,                0.82316,                 0.3149,                0.56801,                0.63566,             0.00052538,             0.00052538,             0.00052538
                     98,                0.28261,                0.27756,                0.92888,                0.96118,                0.97047,                 0.9744,                0.82473,                0.31524,                0.55184,                0.64257,             0.00052284,             0.00052284,             0.00052284
                     99,                0.27695,                0.27106,                0.92792,                 0.9633,                0.95264,                0.98441,                0.82991,                0.32241,                0.57752,                0.64088,             0.00052031,             0.00052031,             0.00052031
                    100,                0.27561,                0.27786,                0.92603,                0.92409,                 0.9651,                0.98048,                 0.8309,                0.31953,                0.65387,                 0.6326,             0.00051777,             0.00051777,             0.00051777
                    101,                0.27488,                 0.2651,                0.91668,                0.94223,                0.94721,                0.97232,                  0.839,                 0.3511,                0.76603,                0.63474,             0.00051523,             0.00051523,             0.00051523
                    102,                0.26181,                0.25589,                0.91881,                0.95315,                0.96241,                0.97949,                0.81864,                0.32164,                0.72225,                0.63623,             0.00051269,             0.00051269,             0.00051269
                    103,                0.26807,                0.26964,                0.91851,                0.97171,                0.96488,                0.97889,                0.84071,                0.32148,                0.62424,                0.64432,             0.00051015,             0.00051015,             0.00051015
                    104,                0.26847,                0.26304,                0.90544,                0.97397,                0.96553,                0.98394,                0.85422,                 0.3364,                0.61655,                0.65096,             0.00050762,             0.00050762,             0.00050762
                    105,                0.25957,                0.25228,                0.91326,                0.96252,                0.95668,                0.98132,                0.86149,                0.30948,                0.59549,                0.62398,             0.00050508,             0.00050508,             0.00050508
                    106,                0.27547,                0.27088,                  0.912,                0.97336,                0.96108,                0.98586,                0.86206,                0.28997,                0.59446,                0.61688,             0.00050254,             0.00050254,             0.00050254
                    107,                0.25366,                0.25081,                0.90395,                0.95083,                 0.9626,                0.97972,                0.85907,                0.29432,                0.60233,                0.62455,                 0.0005,                 0.0005,                 0.0005
                    108,                0.26637,                0.26804,                0.92535,                0.95496,                0.95335,                0.97812,                0.82954,                0.30754,                0.65341,                0.62182,             0.00049747,             0.00049747,             0.00049747
                    109,                0.25715,                0.26434,                0.91306,                0.94971,                0.95005,                0.98197,                0.85528,                0.29614,                0.62621,                0.61857,             0.00049493,             0.00049493,             0.00049493
                    110,                0.26974,                0.26554,                0.92012,                0.95793,                0.93663,                0.98537,                0.82475,                0.29588,                 0.6101,                 0.6091,             0.00049239,             0.00049239,             0.00049239
                    111,                0.26467,                0.26234,                0.91939,                0.95548,                0.92174,                0.97701,                0.82927,                 0.3202,                0.63928,                0.62181,             0.00048985,             0.00048985,             0.00048985
                    112,                0.25926,                0.25678,                0.91092,                 0.9099,                0.96674,                0.98098,                0.84065,                0.30301,                 0.6719,                 0.6202,             0.00048732,             0.00048732,             0.00048732
                    113,                0.26299,                0.26375,                0.91686,                0.95383,                0.96379,                0.98075,                0.81976,                0.31461,                0.63249,                0.62141,             0.00048478,             0.00048478,             0.00048478
                    114,                0.29044,                 0.2792,                0.92502,                 0.9536,                0.94498,                0.97701,                0.81277,                 0.3366,                0.74842,                0.64487,             0.00048224,             0.00048224,             0.00048224
                    115,                0.26132,                0.25916,                0.90683,                0.94586,                0.94531,                 0.9773,                0.81586,                0.32362,                0.70278,                0.63426,              0.0004797,              0.0004797,              0.0004797
                    116,                0.26363,                 0.2491,                  0.913,                0.93941,                 0.9661,                0.98255,                0.81468,                0.30975,                0.63479,                0.63044,             0.00047716,             0.00047716,             0.00047716
                    117,                0.26207,                0.26546,                0.91672,                0.95184,                0.71602,                0.73622,                0.63359,                0.31328,                0.61255,                0.63059,             0.00047463,             0.00047463,             0.00047463
                    118,                0.26839,                0.25947,                0.91721,                0.97117,                0.95836,                0.98613,                0.83026,                0.31499,                0.62334,                0.62762,             0.00047209,             0.00047209,             0.00047209
                    119,                0.26069,                0.25602,                0.91654,                0.95632,                0.95242,                0.98392,                0.84676,                0.37476,                0.75222,                0.64735,             0.00046955,             0.00046955,             0.00046955
                    120,                0.25577,                0.25305,                0.90558,                0.95608,                 0.9616,                  0.983,                0.83084,                0.32319,                0.67746,                0.63449,             0.00046701,             0.00046701,             0.00046701
                    121,                 0.2548,                0.24728,                0.90937,                0.94329,                0.95955,                0.98235,                 0.8129,                0.33859,                0.64023,                0.64756,             0.00046448,             0.00046448,             0.00046448
                    122,                0.26447,                0.25876,                0.90903,                0.95642,                  0.933,                0.97375,                0.81929,                 0.2914,                0.62899,                0.61318,             0.00046194,             0.00046194,             0.00046194
                    123,                0.26421,                0.26958,                0.91017,                0.89833,                0.98093,                0.98235,                0.82052,                0.29794,                0.60591,                0.61245,              0.0004594,              0.0004594,              0.0004594
                    124,                0.27918,                0.25677,                0.92064,                0.92117,                0.95148,                0.98205,                0.83094,                 0.2837,                0.57103,                0.60193,             0.00045686,             0.00045686,             0.00045686
                    125,                0.26417,                0.25053,                0.90452,                0.92791,                0.94049,                0.97806,                0.81218,                0.28876,                 0.6403,                0.60751,             0.00045433,             0.00045433,             0.00045433
                    126,                 0.2587,                0.25106,                0.90476,                0.93046,                0.95432,                 0.9728,                0.83119,                0.29324,                0.56923,                0.61332,             0.00045179,             0.00045179,             0.00045179
                    127,                0.25933,                0.24536,                0.90845,                0.96937,                0.95138,                0.98489,                0.85282,                0.29981,                0.56509,                0.62064,             0.00044925,             0.00044925,             0.00044925
                    128,                0.25982,                0.25037,                0.91426,                0.95614,                0.95441,                 0.9852,                0.86324,                0.30502,                0.59372,                0.62631,             0.00044671,             0.00044671,             0.00044671
                    129,                0.25949,                0.24528,                0.91098,                0.93656,                0.94824,                0.98781,                0.83799,                0.31234,                0.57075,                0.63945,             0.00044417,             0.00044417,             0.00044417
                    130,                0.25515,                0.24776,                0.91435,                0.96262,                0.95193,                0.98745,                0.86314,                0.29891,                0.50737,                0.61909,             0.00044164,             0.00044164,             0.00044164
                    131,                0.25132,                0.24717,                0.90354,                0.94588,                0.98021,                0.98425,                0.84104,                0.27919,                0.52183,                0.60792,              0.0004391,              0.0004391,              0.0004391
                    132,                0.24433,                0.24227,                  0.906,                 0.9334,                0.97092,                0.97898,                  0.834,                 0.3301,                0.70092,                0.62655,             0.00043656,             0.00043656,             0.00043656
                    133,                0.25293,                0.24956,                0.91779,                0.95342,                 0.9612,                0.97888,                0.82366,                0.30193,                0.63099,                0.62044,             0.00043402,             0.00043402,             0.00043402
                    134,                0.25003,                0.24113,                0.90712,                0.95154,                0.97665,                0.98211,                0.85043,                0.27518,                0.52391,                0.61067,             0.00043149,             0.00043149,             0.00043149
                    135,                  0.253,                0.24625,                0.89993,                0.95966,                 0.9779,                0.98601,                 0.8661,                0.29024,                0.54395,                0.61767,             0.00042895,             0.00042895,             0.00042895
                    136,                0.25477,                0.24625,                0.91222,                0.98136,                0.96043,                 0.9895,                0.86677,                0.29373,                0.55297,                0.61665,             0.00042641,             0.00042641,             0.00042641
                    137,                0.24232,                 0.2285,                0.90038,                0.97338,                0.97292,                0.98849,                0.86306,                0.28481,                0.52269,                0.60832,             0.00042387,             0.00042387,             0.00042387
                    138,                0.24396,                0.24095,                0.90818,                0.97134,                0.94289,                0.98347,                0.84368,                0.28441,                0.51582,                0.60603,             0.00042134,             0.00042134,             0.00042134
                    139,                0.24046,                0.23626,                0.90396,                0.96848,                0.93104,                0.98521,                0.86301,                0.28072,                0.51898,                0.60878,              0.0004188,              0.0004188,              0.0004188
                    140,                0.24238,                0.23384,                0.90223,                0.95978,                0.97197,                0.98398,                0.84048,                0.31381,                0.57696,                0.63805,             0.00041626,             0.00041626,             0.00041626
                    141,                0.23176,                0.23439,                0.89537,                0.94209,                0.97864,                0.98466,                0.84467,                 0.3066,                0.58776,                0.63617,             0.00041372,             0.00041372,             0.00041372
                    142,                0.24069,                0.23919,                0.90935,                0.96645,                0.94029,                0.98292,                0.84647,                0.29413,                0.55489,                0.62798,             0.00041118,             0.00041118,             0.00041118
                    143,                0.24136,                0.23395,                0.90128,                0.94317,                0.97615,                0.98349,                0.84179,                0.30877,                0.56528,                0.62635,             0.00040865,             0.00040865,             0.00040865
                    144,                0.23474,                0.22598,                0.90482,                 0.9646,                0.96573,                0.98365,                0.81749,                0.34312,                0.58574,                0.65522,             0.00040611,             0.00040611,             0.00040611
                    145,                0.23033,                0.22289,                0.90088,                0.95775,                0.97962,                0.98725,                0.82835,                0.26908,                0.50885,                0.60619,             0.00040357,             0.00040357,             0.00040357
                    146,                0.23577,                0.23052,                0.90413,                0.98233,                0.94929,                0.98691,                0.83029,                0.29618,                0.52784,                0.62382,             0.00040103,             0.00040103,             0.00040103
                    147,                0.24861,                 0.2304,                0.91234,                0.99023,                0.95876,                 0.9904,                0.85513,                0.26308,                0.51412,                0.59503,              0.0003985,              0.0003985,              0.0003985
                    148,                 0.2246,                0.21734,                0.89936,                0.98357,                0.96772,                0.99004,                0.85407,                0.25901,                0.49327,                0.58438,             0.00039596,             0.00039596,             0.00039596
                    149,                0.23469,                0.22604,                0.90957,                 0.9832,                0.96674,                0.98992,                0.84523,                0.26192,                0.48653,                0.58984,             0.00039342,             0.00039342,             0.00039342
                    150,                0.23181,                0.21828,                0.89321,                0.97451,                0.96177,                0.98626,                0.84281,                0.24504,                 0.5409,                0.58196,             0.00039088,             0.00039088,             0.00039088
                    151,                0.23726,                0.22719,                 0.9067,                0.95408,                0.94884,                0.98231,                0.82445,                  0.279,                0.59737,                0.60092,             0.00038835,             0.00038835,             0.00038835
                    152,                0.22043,                0.21051,                0.89483,                 0.9431,                0.96577,                0.98217,                0.86051,                0.27469,                0.60376,                0.59203,             0.00038581,             0.00038581,             0.00038581
                    153,                0.24013,                0.23135,                0.90033,                0.96061,                0.95936,                0.98249,                0.84551,                0.26236,                 0.5708,                0.59862,             0.00038327,             0.00038327,             0.00038327
