                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56139,                0.55208,                 1.0317,                0.90484,                 0.0444,                0.06613,                0.05797,                0.54404,                 1.1698,                 0.7174,              0.0008845,              0.0008845,              0.0008845
                     37,                0.55938,                0.52242,                 1.0333,                0.89603,                 0.0444,                0.09152,                0.08284,                0.41976,                0.86719,                0.65156,              0.0008812,              0.0008812,              0.0008812
                     38,                 0.5447,                0.52426,                 1.0201,                0.74934,                0.03815,                0.06864,                0.05384,                0.46318,                 0.8754,                0.67823,              0.0008779,              0.0008779,              0.0008779
                     39,                0.56339,                0.50817,                 1.0357,                0.96946,                0.03467,                0.07447,                 0.0593,                 0.4455,                 1.3826,                0.67555,              0.0008746,              0.0008746,              0.0008746
                     40,                0.57181,                0.54122,                 1.0403,                0.97074,                0.05203,                0.07137,                0.06176,                0.46369,                 0.8182,                0.67959,              0.0008713,              0.0008713,              0.0008713
                     41,                0.55218,                0.50535,                 1.0283,                0.84421,                0.04648,                0.06721,                0.05257,                0.48228,                0.80758,                0.70123,               0.000868,               0.000868,               0.000868
                     42,                0.54394,                0.49877,                 1.0118,                0.78374,                0.07031,                0.08506,                0.07028,                0.46867,                 0.9401,                0.67624,              0.0008647,              0.0008647,              0.0008647
                     43,                0.53703,                0.50419,                 1.0122,                0.94399,                0.05354,                0.09589,                0.08305,                0.42246,                0.75186,                0.63326,              0.0008614,              0.0008614,              0.0008614
                     44,                0.54949,                  0.501,                 1.0067,                0.65336,                 0.0444,                0.10545,                 0.0919,                0.45194,                0.83505,                 0.6866,              0.0008581,              0.0008581,              0.0008581
                     45,                0.57243,                0.52178,                  1.033,                0.97886,                0.06731,                0.11061,                0.09305,                0.40624,                0.69136,                0.64139,              0.0008548,              0.0008548,              0.0008548
                     46,                0.52816,                0.48087,                 1.0032,                 0.9258,                0.07078,                0.10703,                0.08608,                0.41157,                0.70232,                0.64417,              0.0008515,              0.0008515,              0.0008515
                     47,                0.52069,                  0.473,                 1.0107,                0.94533,                0.09578,                 0.1242,                0.10005,                0.43507,                0.75387,                 0.6767,              0.0008482,              0.0008482,              0.0008482
                     48,                 0.5535,                0.50368,                  1.008,                0.93186,                0.07078,                0.11701,                0.09551,                0.44232,                 0.7096,                0.67995,              0.0008449,              0.0008449,              0.0008449
                     49,                0.54036,                0.49175,                 1.0125,                0.92458,                0.11823,                0.15197,                0.11436,                0.54059,                0.83373,                0.74159,              0.0008416,              0.0008416,              0.0008416
                     50,                0.53217,                0.49992,                 1.0185,                0.96773,                0.07229,                0.16391,                0.13573,                 0.5121,                0.80293,                0.71178,              0.0008383,              0.0008383,              0.0008383
                     51,                0.52769,                0.48186,                 1.0073,                0.83001,                 0.1358,                0.17788,                0.14184,                0.52315,                0.95275,                0.74194,               0.000835,               0.000835,               0.000835
                     52,                0.54678,                0.48481,                 1.0316,                0.87865,                 0.2679,                0.30344,                0.25147,                0.47824,                0.84071,                 0.6895,              0.0008317,              0.0008317,              0.0008317
                     53,                0.52226,                0.46621,                0.99693,                0.94665,                0.20285,                0.22878,                 0.1987,                0.41497,                0.66127,                0.64785,              0.0008284,              0.0008284,              0.0008284
                     54,                0.53936,                0.48055,                  1.011,                0.83005,                0.16188,                0.19644,                0.15779,                0.43434,                0.69299,                0.65417,              0.0008251,              0.0008251,              0.0008251
                     55,                0.51813,                0.45623,                 1.0086,                0.96672,                0.78711,                 0.8105,                0.69912,                0.41087,                0.67537,                0.66808,              0.0008218,              0.0008218,              0.0008218
                     56,                0.51217,                0.45699,                0.99873,                0.97538,                0.66146,                0.67918,                0.58412,                 0.4177,                0.75738,                0.64559,              0.0008185,              0.0008185,              0.0008185
                     57,                0.51927,                0.45902,                 1.0109,                0.91403,                 0.4751,                 0.5181,                0.43371,                 0.4073,                0.66735,                0.64196,              0.0008152,              0.0008152,              0.0008152
                     58,                0.52009,                0.46884,                 1.0199,                0.90992,                0.12286,                0.14015,                0.11224,                0.49754,                0.98587,                0.70265,              0.0008119,              0.0008119,              0.0008119
                     59,                0.50051,                0.45363,                0.99064,                0.90288,                0.50793,                 0.5395,                0.45901,                0.43064,                0.82021,                0.64562,              0.0008086,              0.0008086,              0.0008086
                     60,                0.52917,                0.45845,                 1.0159,                0.93541,                0.58106,                0.59063,                0.49893,                0.39131,                0.67786,                0.64022,              0.0008053,              0.0008053,              0.0008053
                     61,                0.51531,                0.43293,                 1.0004,                0.93848,                0.06396,                0.08487,                0.07168,                 0.5598,                 1.0872,                0.72377,               0.000802,               0.000802,               0.000802
                     62,                0.52207,                0.45408,                 1.0163,                0.93078,                0.12031,                0.13924,                0.11562,                0.42194,                0.67998,                0.64149,              0.0007987,              0.0007987,              0.0007987
                     63,                0.50257,                 0.4333,                 0.9895,                0.95433,                 0.7048,                0.72699,                 0.6204,                0.40749,                0.67952,                0.64721,              0.0007954,              0.0007954,              0.0007954
                     64,                0.52186,                0.45806,                0.99095,                 0.9859,                0.78588,                0.81389,                0.69841,                0.41723,                   0.66,                0.65118,              0.0007921,              0.0007921,              0.0007921
                     65,                0.51159,                0.42055,                0.99398,                 0.8743,                0.11743,                0.15078,                0.12996,                0.45149,                0.84542,                0.67735,              0.0007888,              0.0007888,              0.0007888
                     66,                0.48811,                0.43269,                0.98461,                0.99153,                0.99067,                0.99185,                0.86457,                0.36689,                0.65033,                0.63336,              0.0007855,              0.0007855,              0.0007855
                     67,                0.47088,                0.42324,                0.97904,                 0.9747,                0.86995,                0.88706,                0.76779,                0.36307,                  0.613,                 0.6195,              0.0007822,              0.0007822,              0.0007822
                     68,                0.51909,                0.42837,                 1.0061,                0.95191,                0.64166,                0.65909,                0.56773,                 0.3992,                0.63639,                0.65569,              0.0007789,              0.0007789,              0.0007789
                     69,                0.48605,                0.41826,                 0.9877,                0.94891,                 0.9822,                0.98628,                0.83588,                0.43585,                0.66743,                0.65991,              0.0007756,              0.0007756,              0.0007756
                     70,                0.50331,                0.43599,                0.99012,                0.97308,                0.82676,                0.85686,                0.72945,                0.46874,                 0.7328,                0.69101,              0.0007723,              0.0007723,              0.0007723
                     71,                0.51016,                  0.431,                 1.0146,                0.93122,                 0.6551,                0.67217,                0.58034,                0.40377,                0.64165,                0.63842,               0.000769,               0.000769,               0.000769
                     72,                0.48363,                0.41137,                0.98061,                0.97099,                0.65606,                0.67281,                0.57777,                0.41956,                0.64789,                0.64903,              0.0007657,              0.0007657,              0.0007657
                     73,                0.47785,                0.41523,                0.98229,                0.90419,                0.56216,                0.58875,                0.48877,                0.54674,                0.92844,                0.71666,              0.0007624,              0.0007624,              0.0007624
                     74,                0.46223,                0.40674,                0.97513,                0.97523,                0.59356,                0.61731,                0.53531,                0.38514,                 0.5978,                0.63135,              0.0007591,              0.0007591,              0.0007591
                     75,                0.47193,                0.39469,                0.97784,                0.98437,                 0.6211,                0.63312,                0.53819,                0.42177,                0.64292,                0.65833,              0.0007558,              0.0007558,              0.0007558
                     76,                0.47592,                0.39931,                0.98083,                0.99179,                0.97225,                0.98902,                0.86033,                0.38505,                0.59898,                0.62725,              0.0007525,              0.0007525,              0.0007525
